ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
277,39.23,23.76,19.34,17.68,71,43,35,32,181,49.99,25.54,24.47,0,107.67,55,52.71,0,215.379,44.75,28.15,27.1,0,81,50.95,49.05,0,181,1,0,0,0.00123135,0.0034856
278,53.68,5.26,4.74,36.32,102,10,9,69,190,53.01,25.96,21.03,0,11.86,5.81,4.74,0,22.405,71.85,14.94,13.2,0,136.52,28.39,25.09,0,190,1,0,0,0.00300968,0.0129719
279,80.1,3.48,2.49,13.93,161,7,5,28,201,37.47,33.69,28.64,0,2.02,1.73,1.49,0,5.244,88.14,6.69,5.16,0,177.16,13.46,10.38,0,201,1,0,0,0.00752729,0.0255375
280,68.02,2.54,2.03,27.41,134,5,4,54,197,69.83,20.25,9.91,0,4.24,1.25,0.62,0,6.112,83.71,9.25,7.04,0,164.91,18.23,13.86,0,197,1,0,0,0.00699623,0.020899
281,11.56,11.06,5.03,72.36,23,22,10,144,199,19.57,48.99,31.44,0,2.17,5.41,3.39,0,10.974,41.97,32.07,25.96,0,83.52,63.81,51.66,0,199,0.98,0.01,0.01,0.00133997,0.00286599
282,4.88,2.93,2.93,89.27,10,6,6,183,205,20.22,40.73,39.05,0,4.11,8.26,7.99,0,20.36,41.01,34.28,24.71,0,84.07,70.28,50.65,0,205,0.95,0.04,0.01,0.00106966,0.00206967
283,0.94,4.72,3.77,90.57,2,10,8,192,212,25.7,41.89,32.41,0,15.99,26.09,20.14,0,62.216,33.56,34.63,31.81,0,71.14,73.42,67.44,0,212,0.33,0.45,0.22,3.84169e-4,3.19598e-4
284,3.21,1.83,0.92,94.04,7,4,2,205,218,25.46,45.34,29.2,0,14.01,24.94,16.03,0,54.976,36.29,35.56,28.15,0,79.11,77.52,61.37,0,218,0.52,0.4,0.08,0.00127833,8.37434e-4
285,3.06,6.63,2.04,88.27,6,13,4,173,196,26.09,38,35.91,0,15.06,21.91,20.78,0,57.755,38.53,36.72,24.75,0,75.52,71.98,48.51,0,196,0.66,0.31,0.03,6.65646e-4,0.00145935
286,7.37,4.21,1.58,86.84,14,8,3,165,190,30.16,47.05,22.79,0,21.94,34.21,16.59,0,72.735,45.74,27.28,26.98,0,86.91,51.83,51.26,0,190,1,0,0,0.00203467,0.00311306
287,2.99,4.98,2.99,89.05,6,10,6,179,201,26.85,50.35,22.8,0,19.83,37.15,16.84,0,73.82,36.2,32.56,31.24,0,72.76,65.44,62.79,0,201,0.61,0.22,0.17,0.00113143,8.89463e-4
288,4.46,6.93,2.97,85.64,9,14,6,173,202,20.59,53.44,25.97,0,12.33,31.95,15.54,0,59.813,41.41,31.77,26.82,0,83.64,64.17,54.19,0,202,0.97,0.02,0.01,0.00162938,0.00209149
289,10.19,7.77,1.46,80.58,21,16,3,166,206,24.02,48.84,27.14,0,5.38,10.89,6.09,0,22.357,46.58,27.69,25.73,0,95.95,57.04,53.01,0,206,1,0,0,0.00180814,0.00341009
290,5.83,9.71,2.91,81.55,12,20,6,168,206,27.34,42.81,29.85,0,9.08,14.17,9.93,0,33.177,36.82,33.22,29.96,0,75.84,68.44,61.72,0,206,0.67,0.22,0.12,0.00131139,0.00106754
291,11.43,7.43,5.14,76,20,13,9,133,175,45.78,27.52,26.7,0,53.21,32.02,31.06,0,116.286,40.31,29.93,29.76,0,70.55,52.37,52.08,0,175,0.92,0.04,0.04,0.00135898,0.00222446
292,23.16,7.91,6.21,62.71,41,14,11,111,177,49.7,35.39,14.91,0,16.7,11.87,5.03,0,33.599,52.08,24.14,23.77,0,92.19,42.73,42.08,0,177,1,0,0,0.00258656,0.00512033
293,48.28,7.88,7.88,35.96,98,16,16,73,203,33.56,44.95,21.49,0,27.62,37.03,17.69,0,82.343,66.89,17.54,15.58,0,135.78,35.6,31.62,0,203,1,0,0,0.00521647,0.0108951
294,86.15,1.54,1.03,11.28,168,3,2,22,195,68.55,16.85,14.59,0,124.84,30.74,26.6,0,182.184,93.28,4.26,2.46,0,181.89,8.3,4.81,0,195,1,0,0,0.0154456,0.0339176
295,50.52,11.98,10.42,27.08,97,23,20,52,192,47.46,31.95,20.6,0,40.79,27.49,17.74,0,86.016,61.36,20.02,18.62,0,117.81,38.43,35.75,0,192,1,0,0,0.00566303,0.00926466
296,58.19,1.13,1.13,39.55,103,2,2,70,177,60.56,23.79,15.65,0,23.24,9.15,6.03,0,38.413,79.7,11.67,8.63,0,141.06,20.65,15.28,0,177,1,0,0,0.00700298,0.0168972
